OID,PLT_CN,LAT,LON,TIME_INT,MAT_30s,aridity
-1,156178555011000.000000000000000,29.579999999999998,-83.250000000000000,25,20.2374992,9055
-1,156178602011000.000000000000000,29.640000000000001,-83.280000000000001,25,20.1958008,9002
-1,156178582011000.000000000000000,29.719999999999999,-83.079999999999998,25,20.1082993,8925
-1,156178618011000.000000000000000,29.609999999999999,-83.060000000000002,25,20.3458004,8899
-1,156178624011000.000000000000000,29.469999999999999,-83.060000000000002,25,20.3999996,8998
-1,156178627011000.000000000000000,29.420000000000002,-83.060000000000002,25,20.4582996,8966
-1,156178631011000.000000000000000,29.530000000000001,-83.000000000000000,25,20.3999996,8974
-1,156178712011000.000000000000000,30.280000000000001,-81.920000000000002,25,20.1667004,8291
-1,156178728011000.000000000000000,30.420000000000002,-81.829999999999998,25,20.1375008,8201
-1,156179104011000.000000000000000,29.579999999999998,-81.420000000000002,26,20.7332993,7719
-1,156179119011000.000000000000000,29.500000000000000,-81.359999999999999,26,20.8792000,7679
-1,156179122011000.000000000000000,29.500000000000000,-81.250000000000000,26,20.9792004,7606
-1,156179135011000.000000000000000,29.579999999999998,-81.310000000000002,26,20.8167000,7667
-1,156179138011000.000000000000000,29.500000000000000,-81.280000000000001,26,20.8542004,7689
-1,156179140011000.000000000000000,29.440000000000001,-81.250000000000000,26,20.9542007,7651
-1,156166010011000.000000000000000,29.530000000000001,-81.250000000000000,26,20.9916992,7582
-1,156179148011000.000000000000000,29.579999999999998,-81.219999999999999,26,21.2124996,7427
-1,156179154011000.000000000000000,29.329999999999998,-81.250000000000000,26,20.9542007,7724
-1,156179155011000.000000000000000,29.309999999999999,-81.250000000000000,26,20.9750004,7714
-1,156179158011000.000000000000000,29.390000000000001,-81.189999999999998,26,21.0000000,7643
-1,156179483011000.000000000000000,29.750000000000000,-82.890000000000001,18,20.3750000,8675
-1,156179484011000.000000000000000,29.780000000000001,-82.920000000000002,18,20.3542004,8725
-1,156166361011000.000000000000000,29.609999999999999,-82.750000000000000,25,20.5249996,8658
-1,156179506011000.000000000000000,29.670000000000002,-82.750000000000000,25,20.2833004,8766
-1,156179527011000.000000000000000,29.609999999999999,-82.689999999999998,18,20.4750004,8620
-1,156179921011000.000000000000000,30.500000000000000,-82.719999999999999,18,19.7707996,8391
-1,156181744011000.000000000000000,30.059999999999999,-83.280000000000001,25,19.8708000,8897
-1,156181748011000.000000000000000,29.969999999999999,-83.329999999999998,25,19.9624996,8965
-1,156181749011000.000000000000000,29.890000000000001,-83.109999999999999,25,20.0916996,8750
-1,156181754011000.000000000000000,30.170000000000002,-83.250000000000000,18,20.1208000,8489
-1,156182556011000.000000000000000,29.219999999999999,-83.030000000000001,25,20.7332993,8722
-1,156182571011000.000000000000000,29.250000000000000,-82.969999999999999,25,20.6541996,8796
-1,156182597011000.000000000000000,29.420000000000002,-82.859999999999999,25,20.7416992,8895
-1,156182602011000.000000000000000,29.579999999999998,-82.829999999999998,18,20.5874996,8762
-1,156182624011000.000000000000000,29.500000000000000,-82.750000000000000,25,20.6583004,8742
-1,156182631011000.000000000000000,29.329999999999998,-82.750000000000000,25,20.6707993,8792
-1,156169519011000.000000000000000,29.359999999999999,-82.689999999999998,25,20.6292000,8752
-1,156169545011000.000000000000000,29.190000000000001,-82.640000000000001,25,20.7875004,8468
-1,156182720011000.000000000000000,29.309999999999999,-82.500000000000000,18,20.8917007,8234
-1,156169921011000.000000000000000,30.559999999999999,-83.579999999999998,25,19.4624996,8521
-1,156183074011000.000000000000000,30.250000000000000,-83.469999999999999,18,19.7042007,8814
-1,156183075011000.000000000000000,30.250000000000000,-83.420000000000002,25,19.7208004,8767
-1,156183108011000.000000000000000,30.500000000000000,-83.560000000000002,25,19.5874996,8539
-1,156183110011000.000000000000000,30.530000000000001,-83.390000000000001,25,19.7292004,8304
-1,156183532011000.000000000000000,29.329999999999998,-82.000000000000000,25,20.6583004,7817
-1,156183951011000.000000000000000,30.690000000000001,-81.579999999999998,25,19.9832993,8160
-1,156183953011000.000000000000000,30.420000000000002,-81.969999999999999,25,20.0083008,8309
-1,156183963011000.000000000000000,30.670000000000002,-81.939999999999998,18,19.8917007,8251
-1,156183979011000.000000000000000,30.469999999999999,-81.859999999999999,25,20.0708008,8274
-1,156171197011000.000000000000000,30.469999999999999,-82.000000000000000,25,19.9417000,8312
-1,156186003011000.000000000000000,29.530000000000001,-81.920000000000002,18,20.6000004,7847
-1,156186005011000.000000000000000,29.559999999999999,-81.829999999999998,26,20.6375008,7797
-1,156186023011000.000000000000000,29.719999999999999,-81.780000000000001,26,20.4291992,7815
-1,156186029011000.000000000000000,29.559999999999999,-81.780000000000001,18,20.6457996,7830
-1,156186050011000.000000000000000,29.530000000000001,-81.719999999999999,26,20.7042007,7810
-1,156186060011000.000000000000000,29.829999999999998,-81.640000000000001,26,20.5207996,7755
-1,156186093011000.000000000000000,29.530000000000001,-81.579999999999998,26,20.7292004,7749
-1,156186171011000.000000000000000,30.059999999999999,-81.670000000000002,18,20.7082996,7683
-1,156186188011000.000000000000000,29.640000000000001,-81.500000000000000,26,20.7416992,7630
-1,156186234011000.000000000000000,29.920000000000002,-81.390000000000001,26,20.6875000,7503
-1,156187175011000.000000000000000,30.420000000000002,-83.079999999999998,18,19.8125000,8375
-1,156187202011000.000000000000000,30.250000000000000,-83.030000000000001,25,20.1000004,8452
-1,156187207011000.000000000000000,30.420000000000002,-83.030000000000001,25,19.8875008,8345
-1,156187259011000.000000000000000,30.109999999999999,-82.829999999999998,18,20.2583008,8385
-1,156187369011000.000000000000000,30.079999999999998,-83.719999999999999,25,19.9708004,8987
-1,156187370011000.000000000000000,30.109999999999999,-83.719999999999999,25,19.8792000,9057
-1,156187413011000.000000000000000,29.920000000000002,-83.579999999999998,25,20.1333008,8947
-1,156187479011000.000000000000000,30.079999999999998,-83.390000000000001,25,19.8999996,8900
-1,156187484011000.000000000000000,29.940000000000001,-83.390000000000001,25,19.9666996,8971
-1,156187495011000.000000000000000,29.690000000000001,-83.390000000000001,25,20.2458000,8930
-1,156187496011000.000000000000000,29.780000000000001,-83.329999999999998,25,20.1917000,8950
-1,156175133011000.000000000000000,29.969999999999999,-82.560000000000002,25,20.3083000,8249
-1,156187579011000.000000000000000,29.969999999999999,-82.469999999999999,25,20.1958008,8254
-1,156187600011000.000000000000000,30.000000000000000,-82.329999999999998,25,20.2332993,8209
-1,156187602011000.000000000000000,30.079999999999998,-82.329999999999998,25,19.9792004,8353
-1,156187603011000.000000000000000,30.059999999999999,-82.359999999999999,25,20.0333004,8368
-1,156187609011000.000000000000000,30.140000000000001,-82.189999999999998,25,19.9458008,8365
-1,156187616011000.000000000000000,30.109999999999999,-82.280000000000001,25,19.9666996,8347
-1,156187692011000.000000000000000,29.219999999999999,-81.280000000000001,26,20.9750004,7847
-1,156187695011000.000000000000000,29.170000000000002,-81.280000000000001,26,20.9832993,7895
-1,156175251011000.000000000000000,29.109999999999999,-81.280000000000001,26,21.1707993,7857
-1,156187728011000.000000000000000,29.170000000000002,-81.219999999999999,26,21.0125008,7821
