OID,Field1,PLT_CN,TPA,INVYR,MEASYEAR,LAT,LON,ELEV,CNsecondme,TimeInterv,remeasTPA,MAT_30s,Arid
-1,38,176859737011000.000000000000000,129,2010,2010,25.382515999999999,-80.768006000000000,0,289516199490000.000000000000000,6,129,24.2707996,7080
-1,39,176859786011000.000000000000000,567,2010,2009,29.712765000000001,-83.287971999999996,30,289515544490000.000000000000000,6,474,20.1457996,8987
-1,40,176859839011000.000000000000000,330,2010,2010,29.454170999999999,-81.186143000000001,20,289515518490000.000000000000000,5,336,21.0375004,7548
-1,41,176859854011000.000000000000000,252,2010,2010,29.907737999999998,-84.544539999999998,30,289515155490000.000000000000000,6,165,19.9500008,9426
-1,42,176859858011000.000000000000000,261,2010,2010,29.781724000000001,-84.839391000000006,20,289515053490000.000000000000000,6,186,20.1958008,9245
-1,43,176859881011000.000000000000000,6,2010,2010,29.635033000000000,-82.740916999999996,80,289515770490000.000000000000000,5,6,20.4125004,8780
-1,44,176859909011000.000000000000000,84,2010,2009,30.127168999999999,-85.250613000000001,40,289515089490000.000000000000000,7,138,19.6958008,10180
-1,45,176860056011000.000000000000000,93,2010,2009,27.727747000000001,-80.448391000000001,20,289516018490000.000000000000000,7,111,22.6833000,7189
-1,46,176860063011000.000000000000000,18,2010,2009,27.756278999999999,-80.606558000000007,20,289516016490000.000000000000000,7,18,22.5708008,7080
-1,47,176860087011000.000000000000000,615,2010,2010,30.251576000000000,-83.926927000000006,20,289515496490000.000000000000000,5,630,19.5958004,9143
-1,48,176860106011000.000000000000000,192,2010,2010,29.936876000000002,-83.026332999999994,110,289515740490000.000000000000000,6,258,20.1417007,8685
-1,49,176860154011000.000000000000000,111,2010,2009,26.728432999999999,-81.657791000000003,20,289515622490000.000000000000000,6,129,23.0375004,7309
-1,50,176860544011000.000000000000000,54,2010,2010,26.862977999999998,-80.226781000000003,20,289516091490000.000000000000000,5,66,23.3500004,7959
-1,51,176860612011000.000000000000000,120,2010,2010,28.225528000000001,-81.660557999999995,130,289515285490000.000000000000000,5,138,22.1082993,7112
-1,52,176860711011000.000000000000000,12,2010,2010,26.976192000000001,-82.269991000000005,10,289515848490000.000000000000000,5,12,22.8750000,7013
-1,53,176860766011000.000000000000000,135,2010,2010,30.134263000000001,-83.451548000000003,80,289515527490000.000000000000000,5,147,19.8792000,8901
-1,54,176860814011000.000000000000000,198,2010,2010,29.219774000000001,-81.159858999999997,30,289515521490000.000000000000000,6,228,21.0667000,7658
-1,55,176860817011000.000000000000000,294,2010,2009,30.238201000000000,-84.519750999999999,60,289514953490000.000000000000000,6,306,19.5333004,9676
-1,56,249673375011000.000000000000000,36,2011,2011,30.548102000000000,-86.803190000000001,80,374861141490000.000000000000000,5,36,19.5291996,10068
-1,57,249673447011000.000000000000000,6,2011,2011,30.190867999999998,-85.657624999999996,30,374860967490000.000000000000000,6,6,20.0042000,9725
-1,58,249673466011000.000000000000000,558,2011,2011,30.350093999999999,-85.737042000000002,40,374861087490000.000000000000000,6,585,19.3374996,9844
-1,59,249673484011000.000000000000000,156,2011,2011,30.654508000000000,-85.221024999999997,120,374861096490000.000000000000000,5,198,19.2166996,9206
-1,60,249673489011000.000000000000000,99,2011,2011,30.502683999999999,-85.398235999999997,200,374861101490000.000000000000000,6,174,19.1417007,9750
-1,61,249673512011000.000000000000000,204,2011,2011,30.506139999999998,-85.289595000000006,200,374860905490000.000000000000000,6,1104,19.1917000,9566
-1,62,249673546011000.000000000000000,342,2011,2010,29.883184000000000,-84.751176000000001,10,374861028490000.000000000000000,7,66,20.0000000,9343
-1,63,249673600011000.000000000000000,6,2011,2010,29.905882999999999,-84.343006000000003,10,374861004490000.000000000000000,7,0,20.2042007,9321
-1,64,249673618011000.000000000000000,369,2011,2011,30.297001999999999,-84.043100999999993,30,374861465490000.000000000000000,5,6,19.5207996,9297
-1,65,249673619011000.000000000000000,300,2011,2011,30.207491999999998,-83.937725999999998,10,374861466490000.000000000000000,5,306,19.6707993,9165
-1,66,249673632011000.000000000000000,591,2011,2011,30.216548000000000,-83.645514000000006,50,374861537490000.000000000000000,5,198,19.7707996,8912
-1,67,249673634011000.000000000000000,504,2011,2011,30.211710000000000,-83.796138999999997,30,374861539490000.000000000000000,5,486,19.7250004,8997
-1,68,249673676011000.000000000000000,573,2011,2011,30.604443000000000,-82.912796000000000,140,374861676490000.000000000000000,6,597,19.4666996,8335
-1,69,249673717011000.000000000000000,822,2011,2011,29.960836000000000,-83.012264999999999,80,374861704490000.000000000000000,6,690,20.2042007,8631
-1,70,249673724011000.000000000000000,318,2011,2010,29.342185000000001,-82.946217000000004,20,374861409490000.000000000000000,6,42,20.5625000,8922
-1,71,249673890011000.000000000000000,18,2011,2010,30.266891000000001,-81.892246000000000,80,374861330490000.000000000000000,7,42,20.2124996,8227
-1,72,249673972011000.000000000000000,96,2011,2010,30.271526000000001,-81.596615999999997,20,374861578490000.000000000000000,7,78,20.8582993,7737
-1,73,249673987011000.000000000000000,1338,2011,2011,29.726061000000001,-81.798940000000002,90,374861593490000.000000000000000,5,807,20.3833008,7852
-1,74,249674009011000.000000000000000,423,2011,2010,27.637239000000001,-82.312047000000007,60,374861218490000.000000000000000,7,318,22.4958000,7219
-1,75,249674061011000.000000000000000,210,2011,2011,27.018761999999999,-82.263467000000006,0,374861814490000.000000000000000,5,204,22.8750000,7061
-1,76,249674067011000.000000000000000,306,2011,2010,30.267697999999999,-81.444261999999995,10,374861941490000.000000000000000,7,447,20.7791996,7538
-1,77,249674076011000.000000000000000,126,2011,2011,28.353047000000000,-81.811414999999997,120,374861230490000.000000000000000,5,108,21.9125004,7189
-1,78,249674221011000.000000000000000,48,2011,2011,26.932630000000000,-81.706852999999995,50,374862139490000.000000000000000,6,129,22.7791996,7177
-1,79,249674222011000.000000000000000,78,2011,2011,26.869890999999999,-81.759364000000005,30,374862140490000.000000000000000,5,78,22.9666996,7178
-1,80,249674224011000.000000000000000,12,2011,2011,26.840036000000001,-81.886267000000004,30,374861792490000.000000000000000,6,12,23.0916996,7100
-1,81,249674262011000.000000000000000,846,2011,2010,29.239795000000001,-81.103876999999997,20,374861271490000.000000000000000,7,471,21.2542000,7479
-1,82,249674270011000.000000000000000,231,2011,2010,28.787191000000000,-80.997772999999995,20,374861279490000.000000000000000,7,249,21.5874996,7542
-1,83,249674351011000.000000000000000,111,2011,2011,28.401938000000001,-81.177486000000002,70,374861445490000.000000000000000,5,123,22.0207996,7205
-1,84,249674359011000.000000000000000,42,2011,2011,26.572220999999999,-81.575997999999998,30,374861453490000.000000000000000,6,42,23.3125000,7236
-1,85,249674473011000.000000000000000,42,2011,2011,27.531817000000000,-80.762445000000000,30,374862153490000.000000000000000,6,48,22.4750004,7100
-1,86,249674680011000.000000000000000,231,2011,2011,27.001145999999999,-80.286145000000005,20,374862273490000.000000000000000,5,162,23.2292004,7770
