OID,PLT_CN,LAT,LON,TIME_INT,30s_NAD,ai_NAD,SOC5_15NAD,SOC0_5_NAD,N5_15_NAD,N0_5_NAD
-1,43854984020000.000000000000000,29.864601000000000,-81.705220999999995,6,20.4207993,7873,131,263,375,1193
-1,43854832020000.000000000000000,30.268712000000001,-83.420286000000004,6,19.6958008,8716,205,590,313,1387
-1,43854743020000.000000000000000,29.330079000000001,-82.031323999999998,6,20.7082996,7840,315,617,1786,2269
-1,43854745020000.000000000000000,29.177308000000000,-81.957027999999994,6,20.7917004,7742,222,506,1849,2145
-1,43854459020000.000000000000000,30.304911000000001,-85.841224999999994,6,19.4500008,9939,291,703,595,1204
-1,43854490020000.000000000000000,30.413242000000000,-85.802857000000003,6,19.2292004,9954,144,508,428,1232
-1,43854437020000.000000000000000,29.806525000000001,-84.748165000000000,6,20.0583000,9265,328,667,708,1188
-1,218218877020000.000000000000000,30.142880999999999,-82.114692000000005,7,19.9792004,8356,125,592,577,1715
-1,218218333020000.000000000000000,29.918626000000000,-81.786153999999996,5,20.3458004,7905,209,655,723,1537
-1,218219294020000.000000000000000,29.545694999999998,-83.072685000000007,6,20.2292004,9010,142,624,1330,1939
-1,218218844020000.000000000000000,30.158415000000002,-83.295489000000003,6,20.0042000,8673,139,471,194,1602
-1,218218445020000.000000000000000,30.073865000000001,-83.310940000000002,5,19.8624992,8905,226,432,292,1189
-1,218218749020000.000000000000000,29.042864000000002,-81.836044000000001,5,21.0207996,7642,272,566,1794,2107
