"","PLT_CN","LAT","LON","TIME_INT"
"92","218218745020004",27.725235,-81.334889,6
"93","218218371020004",28.526949,-82.024668,5
"94","218218423020004",26.85702,-81.659095,5
"95","218219304020004",26.463679,-81.651807,6
"96","218219193020004",26.911896,-80.233362,5
"97","289515959489998",30.24844,-82.233093,6
"98","289515947489998",30.567731,-82.378916,6
"99","289515364489998",29.957044,-82.031996,5
"100","289515544489998",29.712765,-83.287972,6
"101","289515518489998",29.454171,-81.186143,5
"102","289515770489998",29.635033,-82.740917,5
"103","289515740489998",29.936876,-83.026333,6
"104","289515040489998",29.995211,-85.454383,6
"105","289515155489998",29.907738,-84.54454,6
"106","289515089489998",30.127169,-85.250613,7
"107","289515496489998",30.251576,-83.926927,5
"108","289515150489998",30.17527,-84.695749,6
"109","289514953489998",30.238201,-84.519751,6
"110","289516015489998",27.901477,-80.529479,5
"111","289515285489998",28.225528,-81.660558,5
"112","289515686489998",27.668473,-81.190579,6
"113","289516160489998",26.90064,-81.762238,5
"114","289515482489998",26.328545,-81.533797,5
"115","289516199489998",25.382516,-80.768006,6
"116","289515622489998",26.728433,-81.657791,6
"117","374862327489998",30.277382,-82.378479,6
"118","374861330489998",30.266891,-81.892246,7
"119","374861941489998",30.267698,-81.444262,7
"120","374861578489998",30.271526,-81.596616,7
"121","374861676489998",30.604443,-82.912796,6
"122","374861704489998",29.960836,-83.012265,6
"123","374861593489998",29.726061,-81.79894,5
"124","374861539489998",30.21171,-83.796139,5
"125","374861537489998",30.216548,-83.645514,5
"126","374861279489998",28.787191,-80.997773,7
"127","374861271489998",29.239795,-81.103877,7
"128","374860967489998",30.190868,-85.657625,6
"129","374861087489998",30.350094,-85.737042,6
"130","374860905489998",30.50614,-85.289595,6
"131","374861024489998",30.271029,-85.347552,6
"132","374861028489998",29.883184,-84.751176,7
"133","374861004489998",29.905883,-84.343006,7
"134","374861465489998",30.297002,-84.043101,5
"135","374861466489998",30.207492,-83.937726,5
"136","374862329489998",30.11845,-84.882082,7
"137","374861218489998",27.637239,-82.312047,7
"138","374862153489998",27.531817,-80.762445,6
"139","374861445489998",28.401938,-81.177486,5
"140","374861814489998",27.018762,-82.263467,5
